time	iter	Acc	celoss	featloss	l2sp
Sep  3 13:30:3	17899	89.31	13.62	61.94	286.76
Sep  3 13:31:2	17999	89.94	12.81	62.11	287.25
Sep  3 13:32:0	18099	89.21	13.69	61.81	287.75
Sep  3 13:32:5	18199	89.79	13.26	61.49	288.24
Sep  3 13:33:4	18299	90.02	13.13	61.6	288.73
Sep  3 13:34:2	18399	89.96	12.85	62.2	289.22
Sep  3 13:35:1	18499	90.66	12.69	61.69	289.71
Sep  3 13:36:0	18599	89.81	12.88	62.0	290.18
Sep  3 13:36:4	18699	90.59	12.45	62.55	290.67
Sep  3 13:37:3	18799	90.22	12.74	62.39	291.14
Sep  3 13:38:2	18899	90.26	12.86	61.91	291.63
Sep  3 13:39:0	18999	90.39	12.99	62.15	292.13
Sep  3 13:39:5	19099	90.46	12.63	62.88	292.58
Sep  3 13:40:4	19199	89.77	12.85	62.65	293.06
Sep  3 13:41:2	19299	89.57	13.22	61.75	293.52
Sep  3 13:42:1	19399	89.81	12.87	62.63	293.99
Sep  3 13:43:0	19499	89.76	13.01	61.75	294.47
Sep  3 13:43:4	19599	90.21	12.73	63.14	294.94
Sep  3 13:44:3	19699	89.87	12.9	62.2	295.41
Sep  3 13:45:2	19799	90.22	12.41	63.36	295.87
Sep  3 13:46:1	19899	90.01	13.06	62.41	296.33
Sep  3 13:47:0	19999	90.76	12.18	63.07	296.8
Sep  3 13:47:4	20099	90.66	11.96	62.62	297.27
Sep  3 13:48:3	20199	90.37	12.1	63.3	297.73
Sep  3 13:49:2	20299	90.99	12.01	63.49	298.17
Sep  3 13:50:1	20399	90.54	12.16	63.26	298.63
Sep  3 13:50:5	20499	90.32	12.51	62.7	299.08
Sep  3 13:51:4	20599	90.47	12.06	63.26	299.53
Sep  3 13:52:2	20699	90.96	12.06	63.03	299.99
Sep  3 13:53:1	20799	90.74	12.24	63.17	300.44
Sep  3 13:53:5	20899	90.12	12.62	63.03	300.89
Sep  3 13:54:4	20999	90.76	11.95	64.38	301.34
Sep  3 13:55:2	21099	90.96	11.75	64.3	301.76
Sep  3 13:56:0	21199	90.37	12.07	63.26	302.22
Sep  3 13:56:5	21299	90.54	12.08	63.51	302.67
Sep  3 13:57:3	21399	89.99	12.36	64.09	303.13
Sep  3 13:58:2	21499	91.11	11.34	64.69	303.58
Sep  3 13:59:0	21599	90.71	12.08	63.59	304.0
Sep  3 13:59:5	21699	90.96	11.83	64.17	304.43
Sep  3 14:00:3	21799	91.14	11.73	64.03	304.86
Sep  3 14:01:2	21899	91.52	11.47	64.32	305.28
Sep  3 14:02:0	21999	90.77	11.79	64.6	305.72
Sep  3 14:02:5	22099	91.46	10.84	64.27	306.14
Sep  3 14:03:3	22199	91.11	11.49	64.37	306.55
Sep  3 14:04:2	22299	90.81	11.67	64.38	306.97
Sep  3 14:05:0	22399	91.51	11.46	64.35	307.41
Sep  3 14:05:5	22499	91.49	11.32	64.88	307.83
Sep  3 14:06:3	22599	90.46	12.0	64.6	308.24
Sep  3 14:07:2	22699	90.82	11.58	64.98	308.66
Sep  3 14:08:0	22799	91.62	11.49	64.92	309.06
Sep  3 14:08:5	22899	90.87	11.51	65.28	309.46
Sep  3 14:09:3	22999	91.39	11.14	65.05	309.85
Sep  3 14:10:2	23099	91.04	11.36	64.75	310.26
Sep  3 14:11:1	23199	90.84	11.43	65.16	310.67
Sep  3 14:11:5	23299	90.86	11.41	64.87	311.09
Sep  3 14:12:4	23399	91.22	11.01	64.87	311.51
Sep  3 14:13:2	23499	91.56	11.06	65.29	311.93
Sep  3 14:14:1	23599	92.01	10.74	65.54	312.34
Sep  3 14:14:5	23699	91.32	11.02	65.05	312.75
Sep  3 14:15:4	23799	91.39	11.04	65.23	313.14
Sep  3 14:16:2	23899	91.83	10.66	65.45	313.56
Sep  3 14:17:1	23999	90.79	11.89	65.04	313.98
Sep  3 14:18:0	24099	91.61	10.91	65.69	314.35
Sep  3 14:18:4	24199	91.19	11.19	65.17	314.76
Sep  3 14:19:3	24299	91.46	10.98	65.02	315.14
Sep  3 14:20:1	24399	91.62	10.52	65.47	315.52
Sep  3 14:20:5	24499	91.02	11.53	65.26	315.94
Sep  3 14:21:4	24599	91.52	10.95	65.51	316.32
Sep  3 14:22:2	24699	91.01	11.09	66.19	316.72
Sep  3 14:23:1	24799	91.62	10.76	65.3	317.14
Sep  3 14:24:0	24899	92.08	10.53	65.83	317.54
Sep  3 14:24:4	24999	91.76	10.62	65.77	317.94
Sep  3 14:25:3	25099	91.83	10.63	65.82	318.33
Sep  3 14:26:1	25199	91.94	10.93	65.69	318.72
Sep  3 14:27:0	25299	91.51	10.99	66.0	319.1
Sep  3 14:27:5	25399	91.96	10.64	66.48	319.48
Sep  3 14:28:3	25499	91.66	10.8	66.13	319.85
Sep  3 14:29:1	25599	91.39	10.78	66.87	320.26
Sep  3 14:30:0	25699	92.14	10.49	66.39	320.66
Sep  3 14:30:4	25799	91.84	10.75	66.27	321.04
Sep  3 14:31:3	25899	92.16	10.47	66.67	321.44
Sep  3 14:32:2	25999	91.98	10.71	66.58	321.83
Sep  3 14:33:1	26099	91.71	10.63	66.49	322.23
Sep  3 14:34:0	26199	92.31	9.89	66.68	322.6
Sep  3 14:34:5	26299	91.81	10.49	67.0	322.98
Sep  3 14:35:4	26399	91.88	10.2	67.1	323.36
Sep  3 14:36:1	26499	92.53	10.03	67.02	323.74
Sep  3 14:36:3	26599	91.76	10.55	66.48	324.11
Sep  3 14:37:1	26699	92.19	9.97	67.28	324.48
Sep  3 14:37:3	26799	91.96	10.07	67.68	324.86
Sep  3 14:38:0	26899	92.46	10.02	67.24	325.23
Sep  3 14:38:3	26999	92.13	10.27	67.7	325.59
Sep  3 14:39:0	27099	92.24	10.34	67.11	325.97
Sep  3 14:39:3	27199	91.91	10.57	67.25	326.34
Sep  3 14:40:0	27299	92.56	10.12	67.27	326.72
Sep  3 14:40:3	27399	91.84	10.2	67.8	327.08
Sep  3 14:41:0	27499	92.34	9.82	67.68	327.45
Sep  3 14:41:3	27599	92.29	9.82	68.05	327.79
Sep  3 14:42:0	27699	91.61	10.67	66.79	328.16
Sep  3 14:42:3	27799	91.94	10.19	67.73	328.51
Sep  3 14:43:0	27899	92.03	10.27	67.8	328.87
Sep  3 14:43:3	27999	91.99	10.32	67.46	329.25
Sep  3 14:44:0	28099	92.69	9.64	67.82	329.6
Sep  3 14:44:3	28199	92.16	10.56	66.77	329.98
Sep  3 14:45:0	28299	92.19	9.89	68.29	330.33
Sep  3 14:45:3	28399	92.11	10.22	68.1	330.7
Sep  3 14:46:0	28499	92.36	9.84	67.63	331.05
Sep  3 14:46:3	28599	92.23	9.93	68.03	331.43
Sep  3 14:47:0	28699	92.54	9.54	68.42	331.79
Sep  3 14:47:3	28799	92.49	9.65	67.73	332.15
Sep  3 14:48:0	28899	92.09	9.96	68.41	332.49
Sep  3 14:48:3	28999	91.74	10.3	67.79	332.84
Sep  3 14:48:5	29099	92.63	9.86	68.86	333.17
Sep  3 14:49:2	29199	92.08	10.05	68.76	333.52
Sep  3 14:49:5	29299	92.48	9.94	68.1	333.87
Sep  3 14:50:2	29399	91.59	10.31	68.47	334.22
Sep  3 14:50:5	29499	92.06	9.76	68.4	334.57
Sep  3 14:51:2	29599	92.78	9.38	68.83	334.95
Sep  3 14:51:5	29699	92.54	9.71	68.77	335.29
Sep  3 14:52:2	29799	92.28	10.0	68.81	335.63
Sep  3 14:52:5	29899	92.61	9.56	69.0	336.0
Sep  3 14:53:2	29999	92.73	9.36	68.74	336.34
